study,value,map,rmse_mm,error_rate_pct,occupied_iou,free_iou,unknown_iou,false_occupied_pixels,missed_occupied_pixels,extra_free_pixels,missed_free_pixels
minimum_travel_distance,0.05,house_mtd_005,43.88338037299968,9.188988095238097,0.2165513264129181,0.9608723540731238,0.7335145186668574,1694,3740,14,1694
minimum_travel_distance,0.10,house_mtd_010,57.957664800187636,10.080154220779221,0.19828072153325818,0.9484085424161013,0.7182328290361532,1854,3835,284,1982
minimum_travel_distance,0.30,house_mtd_030,72.37026978659627,10.516436688311687,0.1904962744271053,0.937934627494507,0.7204682511528911,1871,3887,509,2231
minimum_travel_distance,0.60,house_mtd_060,82.34462963095255,11.00006764069264,0.1892673944495594,0.9276731682076894,0.7327592551703834,2361,3803,813,2402
minimum_travel_heading,0.05,house_mth_005,43.90684507656536,8.996212121212121,0.23045626271432723,0.9603742936237388,0.7394879192210603,1640,3656,71,1661
minimum_travel_heading,0.10,house_mth_010,47.61142631382558,9.251555735930737,0.22857142857142856,0.9568450678443128,0.7357773154458713,1723,3650,65,1821
minimum_travel_heading,0.30,house_mth_030,57.88699002762046,9.626961580086581,0.21613042850959457,0.9494192666818493,0.7331998856162425,1689,3744,272,1949
minimum_travel_heading,0.60,house_mth_060,64.36754364105789,10.076772186147185,0.1960840360154352,0.945412760535178,0.7248056537102473,1755,3870,310,2089
resolution,0.02,house_res_002,399.0933182873446,17.81450872359963,0.18147448015122875,0.8006363102113604,0.6789079589432946,3751,3610,5709,4129
resolution,0.05,house_res_005,58.99199592149792,8.321854912764003,0.20829206169520306,0.948744769874477,0.8466036887089519,1825,3770,338,1916
resolution,0.10,house_res_010,45.39501037793818,7.707759412304867,0.21807035469274558,0.96260825734317,0.8471775670505881,1609,3748,8,1624
resolution,0.15,house_res_015,53.36266415602872,8.241505968778696,0.21556464119554491,0.9520310360565951,0.844171729114853,1851,3713,182,1920
do_loop_closing,true,house_loop_on,57.957664800187636,6.873688337446092,0.19828072153325818,0.9484085424161013,0.9047881915276611,1854,3835,284,1982
do_loop_closing,false,house_loop_off,1187.233967314052,40.92156546205115,0.04703720716582453,0.4989859350009069,0.40372548245787127,5643,4730,17009,13376
